libellé,ORLY,ALEZ,CORS,DIRE,DUCA,FONT,ICAR,ZODI,PAVI,COCK,ESCA,HOTE
viel    ,1.000,2.000,14.000,38.000,18.000,10.000,9.000,5.000,9.000,4.000,0.000,1.000
nouv    ,20.000,9.000,1.000,11.000,10.000,9.000,1.000,1.000,20.000,9.000,7.000,12.000
sobr    ,9.000,23.000,1.000,15.000,7.000,11.000,6.000,2.000,7.000,12.00,3.000,17.000
coca    ,1.000,3.000,15.000,15.000,6.000,5.000,12.000,18.000,4.000,25.00,2.000,2.000
racé    ,4.000,33.000,7.000,8.000,3.000,6.000,6.000,4.000,5.000,15.00,5.000,3.000
miev    ,3.000,9.000,1.000,7.000,7.000,5.000,12.000,9.000,6.000,9.000,6.000,13.000
dist    ,11.000,9.000,1.000,17.000,4.000,21.000,6.000,1.000,5.000,4.000,5.000,27.000
vulg    ,4.000,4.000,32.000,2.000,6.000,0.000,9.000,7.000,3.000,10.00,12.00,7.000
hom     ,9.000,12.000,23.000,4.000,7.000,13.000,5.000,5.000,10.000,5.000,13.00,9.000
fem     ,9.000,3.000,9.000,8.000,4.000,2.000,6.000,8.000,1.000,6.000,23.00,33.000
petit   ,7.000,5.000,2.000,7.000,11.000,2.000,6.000,11.000,9.000,24.00,10.00,5.000
